library_id,polynomial_degree,include_sin_cos,stlsq_threshold,system_id,source_initial_condition_set,dimension,phasec_representability_threeway,n_target_regressions,n_evaluation_integrations,fit_elapsed_s_context,elapsed_s_evidence_role
poly_deg2_stlsq_0.01,2,False,0.01,27,1,2,exact,2,2,0.006538399999044486,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,27,2,2,exact,2,2,0.0160675999995874,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,28,1,2,exact,2,2,0.006550500000230386,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,28,2,2,exact,2,2,0.006865800000014133,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,29,1,2,exact,2,2,0.007191200000306708,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,29,2,2,exact,2,2,0.0067091000000800705,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,30,1,2,surrogate:eq1_not_representable,2,2,0.005451299999549519,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,30,2,2,surrogate:eq1_not_representable,2,2,0.005719400000089081,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,31,1,2,exact,2,2,0.008425300000453717,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,31,2,2,exact,2,2,0.0073851999986800365,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,32,1,2,exact,2,2,0.0064782999997987645,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,32,2,2,exact,2,2,0.008387399999264744,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,33,1,2,surrogate:eq2_not_representable,2,2,0.007821999999578111,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,33,2,2,surrogate:eq2_not_representable,2,2,0.006317400000625639,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,34,1,2,surrogate:eq2_not_representable,2,2,0.006756200000381796,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,34,2,2,surrogate:eq2_not_representable,2,2,0.006105900001784903,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,35,1,2,surrogate:eq1_not_representable,2,2,0.005543299999771989,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,35,2,2,surrogate:eq1_not_representable,2,2,0.006621999998969841,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,36,1,2,surrogate:eq2_not_representable,2,2,0.006378400001267437,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,36,2,2,surrogate:eq2_not_representable,2,2,0.006467499999416759,context_not_evidence
