library_id,polynomial_degree,include_sin_cos,stlsq_threshold,system_id,source_initial_condition_set,dimension,phasec_representability_threeway,n_target_regressions,n_evaluation_integrations,fit_elapsed_s_context,elapsed_s_evidence_role
poly_deg2_stlsq_0.01,2,False,0.01,27,1,2,exact,2,2,0.007382699994195718,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,27,2,2,exact,2,2,0.0224891000034404,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,28,1,2,exact,2,2,0.011760699999285862,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,28,2,2,exact,2,2,0.02122419999795966,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,29,1,2,exact,2,2,0.01137679999374086,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,29,2,2,exact,2,2,0.011034800001652911,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,30,1,2,surrogate:eq1_not_representable,2,2,0.007025999999314081,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,30,2,2,surrogate:eq1_not_representable,2,2,0.007023699996352661,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,31,1,2,exact,2,2,0.014636400002927985,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,31,2,2,exact,2,2,0.008893799997167662,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,32,1,2,exact,2,2,0.011661199998343363,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,32,2,2,exact,2,2,0.013824999994540121,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,33,1,2,surrogate:eq2_not_representable,2,2,0.01327319999836618,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,33,2,2,surrogate:eq2_not_representable,2,2,0.0073270000066258945,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,34,1,2,surrogate:eq2_not_representable,2,2,0.01348879999568453,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,34,2,2,surrogate:eq2_not_representable,2,2,0.0130771000040113,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,35,1,2,surrogate:eq1_not_representable,2,2,0.006127200002083555,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,35,2,2,surrogate:eq1_not_representable,2,2,0.0060564999948837794,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,36,1,2,surrogate:eq2_not_representable,2,2,0.006644300003245007,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,36,2,2,surrogate:eq2_not_representable,2,2,0.009761299996171147,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,37,1,2,surrogate:eq2_not_representable,2,2,0.014367100004164968,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,37,2,2,surrogate:eq2_not_representable,2,2,0.01264439999795286,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,38,1,2,exact,2,2,0.007353699998930097,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,38,2,2,exact,2,2,0.01304859999800101,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,39,1,2,surrogate:eq1_not_representable,2,2,0.015864000000874512,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,39,2,2,surrogate:eq1_not_representable,2,2,0.009163699993223418,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,40,1,2,surrogate:eq2_not_representable,2,2,0.007060899995849468,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,40,2,2,surrogate:eq2_not_representable,2,2,0.009643500001402572,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,41,1,2,surrogate:eq1_not_representable,2,2,0.012154399999417365,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,41,2,2,surrogate:eq1_not_representable,2,2,0.008028700001887046,context_not_evidence
