t;x1;x2;yhat1;yhat2
0,0;1,2;1,1;1,2;1,1
0,05025125628140704;1,2273251960567015;1,0055330409557572;1,2699739531454572;1,0127971938862823
0,10050251256281408;1,260939712577229;0,920587899558702;1,3467696988869016;0,9279409349414024
0,1507537688442211;1,300726937878825;0,8443748195127013;1,4294593326228393;0,8455311333956246
0,20100502512562815;1,346644036392734;0,7761407773790955;1,5171681140474467;0,7657298804658117
0,25125628140703515;1,398711107760286;0,7151791357982717;1,6090797924832991;0,6887505314218049
0,3015075376884422;1,4570025064225534;0,6608352694755467;1,7044445184094896;0,6148467327608814
0,35175879396984927;1,521639797067127;0,6125093448561935;1,8025892314148888;0,5443010127031456
0,4020100502512563;1,5927859166034652;0,5696571480090595;1,902927703267416;0,4774153538635416
0,45226130653266333;1,6706401827868536;0,5317896383819024;2,004972027022576;0,41450191068218134
0,5025125628140703;1,755433837399938;0,4984717439316972;2,10834149670832;0,35587695123482505
0,5527638190954773;1,8474258401332502;0,46932079402072563;2,212771500860543;0,30185614767134833
0,6030150753768844;1,9468986404910522;0,44400490181074026;2,318119725647376;0,25275308962161497
0,6532663316582915;2,0541536488624996;0,42224155066886343;2,424370458328766;0,2088796924820938
0,7035175879396985;2,1695061042330073;0,4037966052818094;2,5316371393690833;0,1705513291613186
0,7537688442211056;2,2932789941687886;0,3884839544315189;2,6401626971281686;0,13809183671928515
0,8040201005025126;2,4257956186868586;0,3761659973037656;2,7503183224121557;0,11184313319321419
0,8542713567839196;2,567370292988905;0,3667552097498511;2,8625998390660663;0,09217881296840871
0,9045226130653267;2,7182965710539975;0,36021706881417864;2,9776239236470774;0,07951560030362877
0,9547738693467337;2,8788321884853776;0,35657468408962617;3,0961203503184236;0,07433264988376916
1,0050251256281406;3,0491797213832132;0,3559155725667591;3,2189225743941137;0,07719045515798055
1,0552763819095476;3,229461660656091;0,35840114059224765;3,3469559062648337;0,08875061030937874
1,1055276381909547;3,4196882427641904;0,3642795919533436;3,4812149933990835;0,1098029823762242
1,1557788944723617;3,6197159184129575;0,3739031750648194;3,62273996564228;0,14128660979398983
1,2060301507537687;3,8291937834886847;0,3877509053677126;3,772572080856527;0,1843186345650213
1,256281407035176;4,0474946511127445;0,40645813033046796;3,931693659791292;0,24021506203917126
1,306532663316583;4,273626760712181;0,43085448974445645;4,100944497017401;0,3105105573807743
1,35678391959799;4,50612153317114;0,4620118466240083;4,280884623837893;0,396961332280959
1,407035175879397;4,742892579810348;0,5013033914554096;4,471635581508485;0,5015328881715514
1,4572864321608041;4,981061921699073;0,550473927864457;4,6726113920045576;0,6263380767387275
1,5075376884422111;5,216752095767963;0,6117185875622232;4,882229440173575;0,7735366088479037
1,5577889447236182;5,444849260318273;0,6877616877761487;5,097472606583304;0,9451163751340261
