library_id,polynomial_degree,include_sin_cos,stlsq_threshold,direction,regime,dimension,phasec_representability_threeway,aggregation_scope,n_cells,structure_hit_raw_count,structure_hit_raw_rate,structure_hit_pruned_count,structure_hit_pruned_rate,diverged_or_nonfinite_count,r2_finite_nondiverged_count,r2_gt_0_9_count,r2_gt_0_9_rate_over_cells,r2_median_valid,r2_q000_finite_nondiverged,r2_q025_finite_nondiverged,r2_q075_finite_nondiverged,r2_q100_finite_nondiverged
poly_deg2_stlsq_0.01,2,False,0.01,IC2_to_IC1,generalization,2,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,10,0,0.0,0,0.0,5,5,3,0.3,0.9543799135528301,-338.2129331088357,0.347538251059398,0.9884784209885897,0.9948646421786165
poly_deg2_stlsq_0.01,2,False,0.01,IC2_to_IC1,generalization,2,surrogate:eq2_not_representable,dimension_by_phasec_representability_threeway,6,0,0.0,0,0.0,1,5,0,0.0,0.45277613924654087,0.2208699951322618,0.2611637161642336,0.7478947604846825,0.8498064536464245
poly_deg2_stlsq_0.01,2,False,0.01,IC2_to_IC1,generalization,3,exact,dimension_by_phasec_representability_threeway,7,0,0.0,0,0.0,0,7,1,0.14285714285714285,-1.0803169884180066,-11.48403586899961,-5.508017758018244,0.23529189870309153,0.99240981542528
poly_deg2_stlsq_0.01,2,False,0.01,IC2_to_IC1,generalization,3,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,1,0,0,0.0,,,,,
poly_deg2_stlsq_0.01,2,False,0.01,IC2_to_IC1,generalization,4,exact,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,1,0,0,0.0,,,,,
poly_deg2_stlsq_0.01,2,False,0.01,IC2_to_IC1,generalization,4,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,1,0,0,0.0,,,,,
poly_deg2_stlsq_0.01,2,False,0.01,IC2_to_IC1,reconstruction,1,exact,dimension_by_phasec_representability_threeway,11,6,0.5454545454545454,6,0.5454545454545454,0,11,10,0.9090909090909091,0.999944796808113,0.22634586799006973,0.9961846301609864,0.999980689028813,0.9999994502460838
poly_deg2_stlsq_0.01,2,False,0.01,IC2_to_IC1,reconstruction,1,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,11,0,0.0,0,0.0,0,11,11,1.0,0.9998530866278542,0.9674052257696196,0.9974366977906042,0.9999732491187201,0.9999957436804398
poly_deg2_stlsq_0.01,2,False,0.01,IC2_to_IC1,reconstruction,2,exact,dimension_by_phasec_representability_threeway,9,3,0.3333333333333333,3,0.3333333333333333,0,9,5,0.5555555555555556,0.9776403003215399,-2.47606650558248,0.4584264317275859,0.9972837527053503,0.9998281573237942
poly_deg2_stlsq_0.01,2,False,0.01,IC2_to_IC1,reconstruction,2,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,10,0,0.0,0,0.0,1,9,6,0.6,0.997815648191495,-6.957531228261708,0.8538826337763009,0.9993842645372621,0.9999519405328083
poly_deg2_stlsq_0.01,2,False,0.01,IC2_to_IC1,reconstruction,2,surrogate:eq2_not_representable,dimension_by_phasec_representability_threeway,6,0,0.0,0,0.0,0,6,3,0.5,0.8239896581526839,-1.183949491629575,0.43480625607146756,0.9731343991296653,0.9998899455008796
poly_deg2_stlsq_0.01,2,False,0.01,IC2_to_IC1,reconstruction,3,exact,dimension_by_phasec_representability_threeway,7,0,0.0,0,0.0,1,6,1,0.14285714285714285,-0.16442653930014856,-7.642478507357704,-2.419467387061604,0.7773631354058749,0.9999413467421364
poly_deg2_stlsq_0.01,2,False,0.01,IC2_to_IC1,reconstruction,3,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,0,1,1,1.0,0.9999045459390709,0.9999045459390709,0.9999045459390709,0.9999045459390709,0.9999045459390709
poly_deg2_stlsq_0.01,2,False,0.01,IC2_to_IC1,reconstruction,4,exact,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,0,1,1,1.0,0.999958654065581,0.999958654065581,0.999958654065581,0.999958654065581,0.999958654065581
poly_deg2_stlsq_0.01,2,False,0.01,IC2_to_IC1,reconstruction,4,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,1,0,0,0.0,,,,,
poly_deg2_stlsq_0.1,2,False,0.1,IC1_to_IC2,generalization,1,exact,dimension_by_phasec_representability_threeway,11,5,0.45454545454545453,5,0.45454545454545453,0,11,6,0.5454545454545454,0.9127686233938931,-4253810781.670593,-3.932969489657118,0.9999513483047525,0.9999871945148785
poly_deg2_stlsq_0.1,2,False,0.1,IC1_to_IC2,generalization,1,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,11,2,0.18181818181818182,2,0.18181818181818182,0,11,5,0.45454545454545453,0.09466988481741423,-9.32326137535975,-1.8438825291243817,0.9977953061147078,0.9999565103938404
poly_deg2_stlsq_0.1,2,False,0.1,IC1_to_IC2,generalization,2,exact,dimension_by_phasec_representability_threeway,10,5,0.5,5,0.5,1,9,4,0.4,0.5949219237731984,-1.1583469904404458,-0.5171665902265742,0.9833242357053472,0.9998390314135828
poly_deg2_stlsq_0.1,2,False,0.1,IC1_to_IC2,generalization,2,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,12,0,0.0,0,0.0,4,8,1,0.08333333333333333,0.6135945470252013,-1.7241024157947278,-0.5138881839494018,0.8440236934994434,0.9778415054038276
poly_deg2_stlsq_0.1,2,False,0.1,IC1_to_IC2,generalization,2,surrogate:eq2_not_representable,dimension_by_phasec_representability_threeway,6,0,0.0,0,0.0,0,6,1,0.16666666666666666,0.282350312991863,-3.088191111996702,0.011760394692422294,0.747590540667464,0.9991488624357336
poly_deg2_stlsq_0.1,2,False,0.1,IC1_to_IC2,generalization,3,exact,dimension_by_phasec_representability_threeway,8,2,0.25,2,0.25,3,5,0,0.0,-1.4200080539155875,-10.543718109978816,-7.525452355908423,0.6463216604520006,0.7984481569617744
poly_deg2_stlsq_0.1,2,False,0.1,IC1_to_IC2,generalization,3,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,0,1,0,0.0,-236.10685436065717,-236.10685436065717,-236.10685436065717,-236.10685436065717,-236.10685436065717
poly_deg2_stlsq_0.1,2,False,0.1,IC1_to_IC2,generalization,4,exact,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,0,1,0,0.0,-0.444370781616046,-0.444370781616046,-0.444370781616046,-0.444370781616046,-0.444370781616046
poly_deg2_stlsq_0.1,2,False,0.1,IC1_to_IC2,generalization,4,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,0,1,0,0.0,-10.322244463731108,-10.322244463731108,-10.322244463731108,-10.322244463731108,-10.322244463731108
poly_deg2_stlsq_0.1,2,False,0.1,IC1_to_IC2,reconstruction,1,exact,dimension_by_phasec_representability_threeway,11,5,0.45454545454545453,5,0.45454545454545453,0,11,7,0.6363636363636364,0.9996489307118607,-205965.51650031435,0.49922913381162126,0.9999324529384572,0.9999871986621937
poly_deg2_stlsq_0.1,2,False,0.1,IC1_to_IC2,reconstruction,1,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,11,2,0.18181818181818182,2,0.18181818181818182,0,11,7,0.6363636363636364,0.9928846871764553,-3.28040688117461,-2.0914659049797826,0.999602176705416,0.9999959937027724
poly_deg2_stlsq_0.1,2,False,0.1,IC1_to_IC2,reconstruction,2,exact,dimension_by_phasec_representability_threeway,10,5,0.5,5,0.5,0,10,6,0.6,0.9785223596306646,-0.5496382387942155,0.4224838721531796,0.9874199451011728,0.999951170789946
poly_deg2_stlsq_0.1,2,False,0.1,IC1_to_IC2,reconstruction,2,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,12,0,0.0,0,0.0,1,11,8,0.6666666666666666,0.9771974387936792,-0.09660319943228135,0.8700487762925793,0.9951496579628647,0.999979538310384
poly_deg2_stlsq_0.1,2,False,0.1,IC1_to_IC2,reconstruction,2,surrogate:eq2_not_representable,dimension_by_phasec_representability_threeway,6,0,0.0,0,0.0,0,6,4,0.6666666666666666,0.920944677126841,-1.092321124115479,0.6400686983634437,0.9802061704659388,0.9997179222942978
poly_deg2_stlsq_0.1,2,False,0.1,IC1_to_IC2,reconstruction,3,exact,dimension_by_phasec_representability_threeway,8,2,0.25,2,0.25,1,7,0,0.0,-2.967896959118137,-11.55630669253704,-8.45753486318717,-0.5565434384978134,0.8150928079242962
poly_deg2_stlsq_0.1,2,False,0.1,IC1_to_IC2,reconstruction,3,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,0,1,1,1.0,0.9185104466117492,0.9185104466117492,0.9185104466117492,0.9185104466117492,0.9185104466117492
poly_deg2_stlsq_0.1,2,False,0.1,IC1_to_IC2,reconstruction,4,exact,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,0,1,0,0.0,-0.1529975210037689,-0.1529975210037689,-0.1529975210037689,-0.1529975210037689,-0.1529975210037689
poly_deg2_stlsq_0.1,2,False,0.1,IC1_to_IC2,reconstruction,4,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,0,1,1,1.0,0.9990876896453114,0.9990876896453114,0.9990876896453114,0.9990876896453114,0.9990876896453114
poly_deg2_stlsq_0.1,2,False,0.1,IC2_to_IC1,generalization,1,exact,dimension_by_phasec_representability_threeway,11,5,0.45454545454545453,5,0.45454545454545453,0,11,6,0.5454545454545454,0.9814594634519099,-5.174167228149249,0.07691743736231893,0.999932797933087,0.9999871998843637
poly_deg2_stlsq_0.1,2,False,0.1,IC2_to_IC1,generalization,1,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,11,1,0.09090909090909091,1,0.09090909090909091,1,10,3,0.2727272727272727,-1.3695136266626484,-128.82001593235773,-5.852263199430209,0.8418065522525854,0.9999973735339998
poly_deg2_stlsq_0.1,2,False,0.1,IC2_to_IC1,generalization,2,exact,dimension_by_phasec_representability_threeway,9,4,0.4444444444444444,4,0.4444444444444444,0,9,3,0.3333333333333333,0.6352651773260254,-18.916424084611506,-0.4994580847169551,0.977953966478692,0.9992068978106685
poly_deg2_stlsq_0.1,2,False,0.1,IC2_to_IC1,generalization,2,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,10,0,0.0,0,0.0,3,7,3,0.3,-1.3991831102026835,-6587.563461186401,-85.67803025982387,0.9351548772049231,0.9973678792157171
poly_deg2_stlsq_0.1,2,False,0.1,IC2_to_IC1,generalization,2,surrogate:eq2_not_representable,dimension_by_phasec_representability_threeway,6,0,0.0,0,0.0,0,6,0,0.0,0.6403323685910407,0.23499773029121573,0.3207259993817099,0.7639596873911673,0.8498064536464245
poly_deg2_stlsq_0.1,2,False,0.1,IC2_to_IC1,generalization,3,exact,dimension_by_phasec_representability_threeway,5,2,0.4,2,0.4,0,5,0,0.0,-7.860811384079217,-19.58075602918287,-11.508125435458554,-0.8370381243668291,0.8131320355037955
poly_deg2_stlsq_0.1,2,False,0.1,IC2_to_IC1,generalization,3,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,1,0,0,0.0,,,,,
poly_deg2_stlsq_0.1,2,False,0.1,IC2_to_IC1,generalization,4,exact,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,0,1,0,0.0,-0.15300360034477303,-0.15300360034477303,-0.15300360034477303,-0.15300360034477303,-0.15300360034477303
poly_deg2_stlsq_0.1,2,False,0.1,IC2_to_IC1,generalization,4,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,0,1,0,0.0,0.4141189739684068,0.4141189739684068,0.4141189739684068,0.4141189739684068,0.4141189739684068
poly_deg2_stlsq_0.1,2,False,0.1,IC2_to_IC1,reconstruction,1,exact,dimension_by_phasec_representability_threeway,11,5,0.45454545454545453,5,0.45454545454545453,0,11,8,0.7272727272727273,0.9999185196572631,-7.080370345019695,0.5978901245410632,0.9999509272778652,0.9999871986622227
poly_deg2_stlsq_0.1,2,False,0.1,IC2_to_IC1,reconstruction,1,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,11,1,0.09090909090909091,1,0.09090909090909091,0,11,9,0.8181818181818182,0.9978417415779203,-5.082280612419129,0.9734817272831526,0.9997794279663137,0.9999740571664104
poly_deg2_stlsq_0.1,2,False,0.1,IC2_to_IC1,reconstruction,2,exact,dimension_by_phasec_representability_threeway,9,4,0.4444444444444444,4,0.4444444444444444,0,9,5,0.5555555555555556,0.9776403003215399,-2.5395992224297403,0.4584264317275859,0.9972837527053503,0.999827667241373
poly_deg2_stlsq_0.1,2,False,0.1,IC2_to_IC1,reconstruction,2,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,10,0,0.0,0,0.0,1,9,5,0.5,0.9748664996650028,-39.08960737456737,-0.33966301646760166,0.9985962724921493,0.9999188408130177
poly_deg2_stlsq_0.1,2,False,0.1,IC2_to_IC1,reconstruction,2,surrogate:eq2_not_representable,dimension_by_phasec_representability_threeway,6,0,0.0,0,0.0,0,6,3,0.5,0.7855463596665035,-0.4493858334682329,0.48878043508555796,0.978063073980402,0.9998899455008796
poly_deg2_stlsq_0.1,2,False,0.1,IC2_to_IC1,reconstruction,3,exact,dimension_by_phasec_representability_threeway,5,2,0.4,2,0.4,0,5,0,0.0,-0.9970631482123542,-10.543807679055078,-7.479376750587067,0.6717917530920108,0.8087043878887981
poly_deg2_stlsq_0.1,2,False,0.1,IC2_to_IC1,reconstruction,3,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,0,1,1,1.0,0.99456448291973,0.99456448291973,0.99456448291973,0.99456448291973,0.99456448291973
poly_deg2_stlsq_0.1,2,False,0.1,IC2_to_IC1,reconstruction,4,exact,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,0,1,0,0.0,-0.44437341086779936,-0.44437341086779936,-0.44437341086779936,-0.44437341086779936,-0.44437341086779936
poly_deg2_stlsq_0.1,2,False,0.1,IC2_to_IC1,reconstruction,4,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,0,1,1,1.0,0.9998988453739539,0.9998988453739539,0.9998988453739539,0.9998988453739539,0.9998988453739539
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC1_to_IC2,generalization,1,exact,dimension_by_phasec_representability_threeway,11,4,0.36363636363636365,4,0.36363636363636365,0,11,9,0.8181818181818182,0.9999403328941893,-7430633.838744931,0.9583875987144368,0.9999799695570954,0.9999974906522026
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC1_to_IC2,generalization,1,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,12,0,0.0,0,0.0,1,11,7,0.5833333333333334,0.9999517452013703,-9.32326137535975,0.6887053456452269,0.9999818270737062,0.9999996293361822
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC1_to_IC2,generalization,2,exact,dimension_by_phasec_representability_threeway,9,1,0.1111111111111111,1,0.1111111111111111,3,6,5,0.5555555555555556,0.9985653995717901,-0.09205793672322593,0.9826614976773994,0.9995400740195661,0.9997229860210355
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC1_to_IC2,generalization,2,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,9,0,0.0,0,0.0,3,6,5,0.5555555555555556,0.994680874417218,-341.8566922614819,0.9909196663258734,0.9983502532947798,0.99998050912391
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC1_to_IC2,generalization,2,surrogate:eq2_not_representable,dimension_by_phasec_representability_threeway,6,2,0.3333333333333333,2,0.3333333333333333,0,6,4,0.6666666666666666,0.9962750479825216,-52.61121678403619,-0.8540884287777519,0.9995518329765212,0.9999138918679552
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC1_to_IC2,generalization,3,exact,dimension_by_phasec_representability_threeway,6,0,0.0,0,0.0,4,2,0,0.0,-3.033192804777972,-4.825508030051588,-3.92935041741478,-2.1370351921411643,-1.2408775795043563
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC1_to_IC2,generalization,3,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,1,0,0,0.0,,,,,
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC1_to_IC2,generalization,3,surrogate:eq3_not_representable,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,1,0,0,0.0,,,,,
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC1_to_IC2,generalization,4,exact,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,1,0,0,0.0,,,,,
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC1_to_IC2,generalization,4,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,1,0,0,0.0,,,,,
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC1_to_IC2,reconstruction,1,exact,dimension_by_phasec_representability_threeway,11,4,0.36363636363636365,4,0.36363636363636365,0,11,9,0.8181818181818182,0.9999255904379042,-29901.106704993286,0.9886682479505062,0.99998068997521,0.9999903393498715
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC1_to_IC2,reconstruction,1,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,12,0,0.0,0,0.0,0,12,12,1.0,0.9999687721034758,0.9318715639155434,0.9989102022491566,0.9999873831912984,0.9999940647306503
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC1_to_IC2,reconstruction,2,exact,dimension_by_phasec_representability_threeway,9,1,0.1111111111111111,1,0.1111111111111111,2,7,5,0.5555555555555556,0.9931857106095088,0.3610695406388888,0.8346255890126713,0.9995615750299222,0.999951170789946
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC1_to_IC2,reconstruction,2,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,9,0,0.0,0,0.0,2,7,7,0.7777777777777778,0.9981288573138221,0.9653223601840297,0.9791004008635245,0.9998562703328518,0.9999641228140541
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC1_to_IC2,reconstruction,2,surrogate:eq2_not_representable,dimension_by_phasec_representability_threeway,6,2,0.3333333333333333,2,0.3333333333333333,0,6,5,0.8333333333333334,0.9971320489849638,0.38170392298931827,0.9825222291877489,0.9995845832237075,0.9999263873591882
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC1_to_IC2,reconstruction,3,exact,dimension_by_phasec_representability_threeway,6,0,0.0,0,0.0,0,6,0,0.0,-1.7022928166318119,-6.173656452904296,-4.87555768701263,-0.34891842024774755,0.8131663314265533
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC1_to_IC2,reconstruction,3,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,0,1,1,1.0,0.9999772002021898,0.9999772002021898,0.9999772002021898,0.9999772002021898,0.9999772002021898
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC1_to_IC2,reconstruction,3,surrogate:eq3_not_representable,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,1,0,0,0.0,,,,,
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC1_to_IC2,reconstruction,4,exact,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,1,0,0,0.0,,,,,
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC1_to_IC2,reconstruction,4,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,1,0,0,0.0,,,,,
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC2_to_IC1,generalization,1,exact,dimension_by_phasec_representability_threeway,11,4,0.36363636363636365,4,0.36363636363636365,2,9,7,0.6363636363636364,0.9987020260087022,0.7516444558168571,0.9802195476250042,0.9999391263467772,0.9999903264483245
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC2_to_IC1,generalization,1,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,12,0,0.0,0,0.0,0,12,5,0.4166666666666667,0.866416928098041,-128.82001593235773,-1.2776335992549384,0.9978944024496598,0.9999928515058665
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC2_to_IC1,generalization,2,exact,dimension_by_phasec_representability_threeway,9,1,0.1111111111111111,1,0.1111111111111111,2,7,3,0.3333333333333333,0.8876188273663734,-12.79349983860823,0.018543711693771003,0.9885184783813463,0.9999269233726283
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC2_to_IC1,generalization,2,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,8,1,0.125,1,0.125,3,5,2,0.25,-1.8428005204552356,-187.81580965889896,-3.6252989296514517,0.9918232709245132,0.9999100435111181
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC2_to_IC1,generalization,2,surrogate:eq2_not_representable,dimension_by_phasec_representability_threeway,6,2,0.3333333333333333,2,0.3333333333333333,0,6,4,0.6666666666666666,0.9971476404999778,-2.677402473768809,0.7071761594001273,0.999371667703423,0.9998141072755088
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC2_to_IC1,generalization,3,exact,dimension_by_phasec_representability_threeway,4,0,0.0,0,0.0,1,3,0,0.0,-1.0914443077589218,-9.369951785849738,-5.23069804680433,-0.1485066596798431,0.7944309883992355
