system_representability,condition,initial_condition_set,system_dim,threshold,n_cells,cells_above_threshold,share_above_threshold
surrogate,pretune_on,2,2,0.75,57,12,0.210526315789
surrogate,pretune_on,2,2,0.9,57,12,0.210526315789
surrogate,pretune_on,2,3,0.25,18,10,0.555555555556
surrogate,pretune_on,2,3,0.5,18,9,0.5
surrogate,pretune_on,2,3,0.75,18,6,0.333333333333
surrogate,pretune_on,2,3,0.9,18,5,0.277777777778
surrogate,pretune_on,2,4,0.25,3,3,1
surrogate,pretune_on,2,4,0.5,3,2,0.666666666667
surrogate,pretune_on,2,4,0.75,3,1,0.333333333333
surrogate,pretune_on,2,4,0.9,3,0,0
