basis_name,system_id,dim,description,equation_index,n_true_terms,n_representable_true_terms,n_nonrepresentable_true_terms,representability_class,matched_basis_terms,unmatched_terms
default_staged_polynomial_basis,35,2,Rotational dynamics of an object in a shear flow,2,2,0,2,non_representable,,4.2*sin(u1)*sin(u2)^2 [unsupported_function]|sin(u1)*cos(u2)^2 [unsupported_function]
default_staged_polynomial_basis,36,2,"Pendulum with non-linear damping, no driving (dimensionless)",1,1,1,0,fully_representable,u2,
default_staged_polynomial_basis,36,2,"Pendulum with non-linear damping, no driving (dimensionless)",2,3,2,1,partially_representable,u2|sin(u1),-0.07*u2*cos(u1) [unsupported_function]
default_staged_polynomial_basis,37,2,Van der Pol oscillator (standard form),1,1,1,0,fully_representable,u2,
default_staged_polynomial_basis,37,2,Van der Pol oscillator (standard form),2,3,2,1,partially_representable,u1|u2,u1^2*u2 [mixed_higher_order_term]
default_staged_polynomial_basis,38,2,Van der Pol oscillator (simplified form from Strogatz),1,3,3,0,fully_representable,u1|u2|u1^3,
default_staged_polynomial_basis,38,2,Van der Pol oscillator (simplified form from Strogatz),2,1,1,0,fully_representable,u1,
default_staged_polynomial_basis,39,2,"Glycolytic oscillator, e.g., ADP and F6P in yeast (dimensionless)",1,3,2,1,partially_representable,u1|u2,u1^2*u2 [mixed_higher_order_term]
default_staged_polynomial_basis,39,2,"Glycolytic oscillator, e.g., ADP and F6P in yeast (dimensionless)",2,3,1,2,partially_representable,u1,u1^2*u2 [mixed_higher_order_term]|0.0700000000000000 [constant_offset]
default_staged_polynomial_basis,40,2,Duffing equation (weakly non-linear oscillation),1,1,1,0,fully_representable,u2,
default_staged_polynomial_basis,40,2,Duffing equation (weakly non-linear oscillation),2,3,2,1,partially_representable,u1|u2,u1^2*u2 [mixed_higher_order_term]
default_staged_polynomial_basis,41,2,Cell cycle model by Tyson for interaction between protein cdc2 and cyclin (dimensionless),1,4,3,1,partially_representable,u1|u2|u1^3,u1^2*u2 [mixed_higher_order_term]
default_staged_polynomial_basis,41,2,Cell cycle model by Tyson for interaction between protein cdc2 and cyclin (dimensionless),2,2,1,1,partially_representable,u1,0.300000000000000 [constant_offset]
default_staged_polynomial_basis,42,2,Reduced model for chlorine dioxide-iodine-malonic acid rection (dimensionless),1,3,1,2,partially_representable,u1,-4.0*u1*u2/(u1^2 + 1) [unsupported_power]|8.90000000000000 [constant_offset]
default_staged_polynomial_basis,42,2,Reduced model for chlorine dioxide-iodine-malonic acid rection (dimensionless),2,2,1,1,partially_representable,u1,-1.4*u1*u2/(u1^2 + 1) [unsupported_power]
default_staged_polynomial_basis,43,2,Driven pendulum with linear damping / Josephson junction (dimensionless),1,1,1,0,fully_representable,u2,
default_staged_polynomial_basis,43,2,Driven pendulum with linear damping / Josephson junction (dimensionless),2,3,2,1,partially_representable,u2|sin(u1),1.67000000000000 [constant_offset]
default_staged_polynomial_basis,44,2,Driven pendulum with quadratic damping (dimensionless),1,1,1,0,fully_representable,u2,
default_staged_polynomial_basis,44,2,Driven pendulum with quadratic damping (dimensionless),2,3,1,2,partially_representable,sin(u1),-0.64*u2*Abs(u2) [unsupported_function]|1.67000000000000 [constant_offset]
default_staged_polynomial_basis,45,2,Isothermal autocatalytic reaction model by Gray and Scott 1985 (dimensionless),1,3,1,2,partially_representable,u1,u1*u2^2 [mixed_higher_order_term]|0.500000000000000 [constant_offset]
default_staged_polynomial_basis,45,2,Isothermal autocatalytic reaction model by Gray and Scott 1985 (dimensionless),2,2,1,1,partially_representable,u2,u1*u2^2 [mixed_higher_order_term]
default_staged_polynomial_basis,46,2,Interacting bar magnets,1,2,1,1,partially_representable,sin(u1),0.33*sin(u1 - u2) [unsupported_trigonometric_argument]
default_staged_polynomial_basis,46,2,Interacting bar magnets,2,2,1,1,partially_representable,sin(u2),-0.33*sin(u1 - u2) [unsupported_trigonometric_argument]
default_staged_polynomial_basis,47,2,Binocular rivalry model (no oscillations),1,2,1,1,partially_representable,u1,1/(0.246596963941606*exp(4.89*u2) + 1) [unsupported_function]
default_staged_polynomial_basis,47,2,Binocular rivalry model (no oscillations),2,2,1,1,partially_representable,u2,1/(0.246596963941606*exp(4.89*u1) + 1) [unsupported_function]
default_staged_polynomial_basis,48,2,Bacterial respiration model for nutrients and oxygen levels,1,3,1,2,partially_representable,u1,-u1*u2/(0.48*u1^2 + 1) [unsupported_power]|18.3000000000000 [constant_offset]
default_staged_polynomial_basis,48,2,Bacterial respiration model for nutrients and oxygen levels,2,2,0,2,non_representable,,-u1*u2/(0.48*u1^2 + 1) [unsupported_power]|11.2300000000000 [constant_offset]
default_staged_polynomial_basis,49,2,Brusselator: hypothetical chemical oscillation model (dimensionless),1,3,1,2,partially_representable,u1,u1^2*u2 [mixed_higher_order_term]|1 [constant_offset]
default_staged_polynomial_basis,49,2,Brusselator: hypothetical chemical oscillation model (dimensionless),2,2,1,1,partially_representable,u1,u1^2*u2 [mixed_higher_order_term]
default_staged_polynomial_basis,50,2,Chemical oscillator model by Schnackenberg 1979 (dimensionless),1,3,1,2,partially_representable,u1,u1^2*u2 [mixed_higher_order_term]|0.240000000000000 [constant_offset]
default_staged_polynomial_basis,50,2,Chemical oscillator model by Schnackenberg 1979 (dimensionless),2,2,0,2,non_representable,,u1^2*u2 [mixed_higher_order_term]|1.43000000000000 [constant_offset]
default_staged_polynomial_basis,51,2,Oscillator death model by Ermentrout and Kopell 1990,1,2,0,2,non_representable,,sin(u2)*cos(u1) [unsupported_function]|1.43200000000000 [constant_offset]
default_staged_polynomial_basis,51,2,Oscillator death model by Ermentrout and Kopell 1990,2,2,0,2,non_representable,,sin(u2)*cos(u1) [unsupported_function]|0.972000000000000 [constant_offset]
default_staged_polynomial_basis,52,3,Maxwell-Bloch equations (laser dynamics),1,2,2,0,fully_representable,u1|u2,
default_staged_polynomial_basis,52,3,Maxwell-Bloch equations (laser dynamics),2,2,2,0,fully_representable,u2|u1*u3,
default_staged_polynomial_basis,52,3,Maxwell-Bloch equations (laser dynamics),3,3,2,1,partially_representable,u3|u1*u2,1.39400000000000 [constant_offset]
default_staged_polynomial_basis,53,3,Model for apoptosis (cell death),1,3,1,2,partially_representable,u1,-0.4*u1*u2/(u1 + 0.1) [unsupported_power]|0.100000000000000 [constant_offset]
default_staged_polynomial_basis,53,3,Model for apoptosis (cell death),2,4,2,2,partially_representable,u3|u2*u3,-7.95*u1*u2/(u2 + 2.0) [unsupported_power]|-0.2*u2/(u2 + 0.1) [unsupported_power]
default_staged_polynomial_basis,53,3,Model for apoptosis (cell death),3,4,2,2,partially_representable,u3|u2*u3,7.95*u1*u2/(u2 + 2.0) [unsupported_power]|0.2*u2/(u2 + 0.1) [unsupported_power]
default_staged_polynomial_basis,54,3,Lorenz equations in well-behaved periodic regime,1,2,2,0,fully_representable,u1|u2,
default_staged_polynomial_basis,54,3,Lorenz equations in well-behaved periodic regime,2,3,3,0,fully_representable,u1|u2|u1*u3,
default_staged_polynomial_basis,54,3,Lorenz equations in well-behaved periodic regime,3,2,2,0,fully_representable,u3|u1*u2,
default_staged_polynomial_basis,55,3,Lorenz equations in complex periodic regime,1,2,2,0,fully_representable,u1|u2,
