run_id,experiment_id,system_id,variant_slug,seed,initial_condition_set,equation_index,n_found_terms,n_true_terms,n_true_positive_terms,n_missing_true_terms,n_extra_found_terms,term_precision,term_recall,structural_f1,exact_support_match,missing_true_terms,extra_found_terms,coefficient_relative_error_mean,coefficient_relative_error_max,n_coefficient_terms
28_evogrow_v2_2_stage_capped_pretune_on_5_2_42,paper1_phaseB_v1,5,evogrow_v2_2_stage_capped_pretune_on,42,2,1,2,1,1,0,1,0.5,1.0,0.6666666666666666,False,,u1,,,0
29_evogrow_v2_2_stage_capped_pretune_on_5_2_123,paper1_phaseB_v1,5,evogrow_v2_2_stage_capped_pretune_on,123,2,1,2,1,1,0,1,0.5,1.0,0.6666666666666666,False,,u1,,,0
30_evogrow_v2_2_stage_capped_pretune_on_5_2_7,paper1_phaseB_v1,5,evogrow_v2_2_stage_capped_pretune_on,7,2,1,2,1,1,0,1,0.5,1.0,0.6666666666666666,False,,u1,,,0
31_evogrow_v2_2_stage_capped_pretune_on_6_1_42,paper1_phaseB_v1,6,evogrow_v2_2_stage_capped_pretune_on,42,1,1,2,2,2,0,0,1.0,1.0,1.0,True,,,,,0
32_evogrow_v2_2_stage_capped_pretune_on_6_1_123,paper1_phaseB_v1,6,evogrow_v2_2_stage_capped_pretune_on,123,1,1,2,2,2,0,0,1.0,1.0,1.0,True,,,,,0
33_evogrow_v2_2_stage_capped_pretune_on_6_1_7,paper1_phaseB_v1,6,evogrow_v2_2_stage_capped_pretune_on,7,1,1,2,2,2,0,0,1.0,1.0,1.0,True,,,,,0
34_evogrow_v2_2_stage_capped_pretune_on_6_2_42,paper1_phaseB_v1,6,evogrow_v2_2_stage_capped_pretune_on,42,2,1,2,2,2,0,0,1.0,1.0,1.0,True,,,,,0
35_evogrow_v2_2_stage_capped_pretune_on_6_2_123,paper1_phaseB_v1,6,evogrow_v2_2_stage_capped_pretune_on,123,2,1,2,2,2,0,0,1.0,1.0,1.0,True,,,,,0
36_evogrow_v2_2_stage_capped_pretune_on_6_2_7,paper1_phaseB_v1,6,evogrow_v2_2_stage_capped_pretune_on,7,2,1,2,2,2,0,0,1.0,1.0,1.0,True,,,,,0
37_evogrow_v2_2_stage_capped_pretune_on_7_1_42,paper1_phaseB_v1,7,evogrow_v2_2_stage_capped_pretune_on,42,1,1,1,1,1,0,0,1.0,1.0,1.0,True,,,,,0
38_evogrow_v2_2_stage_capped_pretune_on_7_1_123,paper1_phaseB_v1,7,evogrow_v2_2_stage_capped_pretune_on,123,1,1,1,1,1,0,0,1.0,1.0,1.0,True,,,,,0
39_evogrow_v2_2_stage_capped_pretune_on_7_1_7,paper1_phaseB_v1,7,evogrow_v2_2_stage_capped_pretune_on,7,1,1,1,1,1,0,0,1.0,1.0,1.0,True,,,,,0
40_evogrow_v2_2_stage_capped_pretune_on_7_2_42,paper1_phaseB_v1,7,evogrow_v2_2_stage_capped_pretune_on,42,2,1,3,1,1,0,2,0.3333333333333333,1.0,0.5,False,,u1^2|u1^3,,,0
41_evogrow_v2_2_stage_capped_pretune_on_7_2_123,paper1_phaseB_v1,7,evogrow_v2_2_stage_capped_pretune_on,123,2,1,3,1,1,0,2,0.3333333333333333,1.0,0.5,False,,u1^2|u1^3,,,0
42_evogrow_v2_2_stage_capped_pretune_on_7_2_7,paper1_phaseB_v1,7,evogrow_v2_2_stage_capped_pretune_on,7,2,1,3,1,1,0,2,0.3333333333333333,1.0,0.5,False,,u1^2|u1^3,,,0
43_evogrow_v2_2_stage_capped_pretune_on_8_1_42,paper1_phaseB_v1,8,evogrow_v2_2_stage_capped_pretune_on,42,1,1,1,3,1,2,0,1.0,0.3333333333333333,0.5,False,u1^2|u1^3,,,,0
44_evogrow_v2_2_stage_capped_pretune_on_8_1_123,paper1_phaseB_v1,8,evogrow_v2_2_stage_capped_pretune_on,123,1,1,1,3,1,2,0,1.0,0.3333333333333333,0.5,False,u1^2|u1^3,,,,0
45_evogrow_v2_2_stage_capped_pretune_on_8_1_7,paper1_phaseB_v1,8,evogrow_v2_2_stage_capped_pretune_on,7,1,1,1,3,1,2,0,1.0,0.3333333333333333,0.5,False,u1^2|u1^3,,,,0
46_evogrow_v2_2_stage_capped_pretune_on_8_2_42,paper1_phaseB_v1,8,evogrow_v2_2_stage_capped_pretune_on,42,2,1,1,3,1,2,0,1.0,0.3333333333333333,0.5,False,u1^2|u1^3,,,,0
47_evogrow_v2_2_stage_capped_pretune_on_8_2_123,paper1_phaseB_v1,8,evogrow_v2_2_stage_capped_pretune_on,123,2,1,1,3,1,2,0,1.0,0.3333333333333333,0.5,False,u1^2|u1^3,,,,0
48_evogrow_v2_2_stage_capped_pretune_on_8_2_7,paper1_phaseB_v1,8,evogrow_v2_2_stage_capped_pretune_on,7,2,1,1,3,1,2,0,1.0,0.3333333333333333,0.5,False,u1^2|u1^3,,,,0
49_evogrow_v2_2_stage_capped_pretune_on_9_1_42,paper1_phaseB_v1,9,evogrow_v2_2_stage_capped_pretune_on,42,1,1,2,1,1,0,1,0.5,1.0,0.6666666666666666,False,,u1^2,,,0
50_evogrow_v2_2_stage_capped_pretune_on_9_1_123,paper1_phaseB_v1,9,evogrow_v2_2_stage_capped_pretune_on,123,1,1,2,1,1,0,1,0.5,1.0,0.6666666666666666,False,,u1^2,,,0
51_evogrow_v2_2_stage_capped_pretune_on_9_1_7,paper1_phaseB_v1,9,evogrow_v2_2_stage_capped_pretune_on,7,1,1,2,1,1,0,1,0.5,1.0,0.6666666666666666,False,,u1^2,,,0
