campaign,source_path,source_format,record_index,metric_scope,system_id,dimension,arm,initial_condition_set,r2_arithmetic_mean,r2_variance_weighted,r2_arithmetic_mean_gt_0_9,r2_variance_weighted_gt_0_9,r2_difference_variance_weighted_minus_arithmetic,threshold_flip,threshold_flip_direction,arithmetic_control_abs_error,one_dim_abs_delta,aggregation_source
paper1_phaseB_v1,C:\Users\joedicke\Documents\reps\EvoODE\experiments\paper1_phaseB_v1\run_registry.csv,run_registry,18,record,4,1,pretune_on,1,0.9998781415342218,0.9998781415342217,True,True,-1.1102230246251565e-16,False,none,0.0,1.1102230246251565e-16,reconstructed_from_r2_by_dim
paper1_phaseB_v1,C:\Users\joedicke\Documents\reps\EvoODE\experiments\paper1_phaseB_v1\run_registry.csv,run_registry,19,record,4,1,pretune_on,1,0.9998781415342218,0.9998781415342217,True,True,-1.1102230246251565e-16,False,none,0.0,1.1102230246251565e-16,reconstructed_from_r2_by_dim
paper1_phaseB_v1,C:\Users\joedicke\Documents\reps\EvoODE\experiments\paper1_phaseB_v1\run_registry.csv,run_registry,20,record,4,1,pretune_on,1,0.9998781415342218,0.9998781415342217,True,True,-1.1102230246251565e-16,False,none,0.0,1.1102230246251565e-16,reconstructed_from_r2_by_dim
paper1_phaseB_v1,C:\Users\joedicke\Documents\reps\EvoODE\experiments\paper1_phaseB_v1\run_registry.csv,run_registry,21,record,4,1,pretune_on,2,0.99932432285211,0.99932432285211,True,True,0.0,False,none,0.0,0.0,reconstructed_from_r2_by_dim
paper1_phaseB_v1,C:\Users\joedicke\Documents\reps\EvoODE\experiments\paper1_phaseB_v1\run_registry.csv,run_registry,22,record,4,1,pretune_on,2,0.99932432285211,0.99932432285211,True,True,0.0,False,none,0.0,0.0,reconstructed_from_r2_by_dim
paper1_phaseB_v1,C:\Users\joedicke\Documents\reps\EvoODE\experiments\paper1_phaseB_v1\run_registry.csv,run_registry,23,record,4,1,pretune_on,2,0.99932432285211,0.99932432285211,True,True,0.0,False,none,0.0,0.0,reconstructed_from_r2_by_dim
paper1_phaseB_v1,C:\Users\joedicke\Documents\reps\EvoODE\experiments\paper1_phaseB_v1\run_registry.csv,run_registry,24,record,5,1,pretune_on,1,0.9786475002418551,0.9786475002418551,True,True,0.0,False,none,1.1102230246251565e-16,0.0,reconstructed_from_r2_by_dim
paper1_phaseB_v1,C:\Users\joedicke\Documents\reps\EvoODE\experiments\paper1_phaseB_v1\run_registry.csv,run_registry,25,record,5,1,pretune_on,1,0.9786475002418551,0.9786475002418551,True,True,0.0,False,none,1.1102230246251565e-16,0.0,reconstructed_from_r2_by_dim
paper1_phaseB_v1,C:\Users\joedicke\Documents\reps\EvoODE\experiments\paper1_phaseB_v1\run_registry.csv,run_registry,26,record,5,1,pretune_on,1,0.9786475002418551,0.9786475002418551,True,True,0.0,False,none,1.1102230246251565e-16,0.0,reconstructed_from_r2_by_dim
paper1_phaseB_v1,C:\Users\joedicke\Documents\reps\EvoODE\experiments\paper1_phaseB_v1\run_registry.csv,run_registry,27,record,5,1,pretune_on,2,0.9999945197905024,0.9999945197905024,True,True,0.0,False,none,0.0,0.0,reconstructed_from_r2_by_dim
paper1_phaseB_v1,C:\Users\joedicke\Documents\reps\EvoODE\experiments\paper1_phaseB_v1\run_registry.csv,run_registry,28,record,5,1,pretune_on,2,0.9999945197905024,0.9999945197905024,True,True,0.0,False,none,0.0,0.0,reconstructed_from_r2_by_dim
paper1_phaseB_v1,C:\Users\joedicke\Documents\reps\EvoODE\experiments\paper1_phaseB_v1\run_registry.csv,run_registry,29,record,5,1,pretune_on,2,0.9999945197905024,0.9999945197905024,True,True,0.0,False,none,0.0,0.0,reconstructed_from_r2_by_dim
