control,n_checked,n_failed,max_abs_error,tolerance
arithmetic_mean_reproduces_r2,756,0,1.1102230246251565e-16,1e-12
one_dimensional_aggregations_identical,276,0,1.1102230246251565e-16,1e-12
multi_dimensional_aggregations_differ,480,35,0.6712142470826569,1e-12
