dimension,arm,initial_condition_set,n_cells,diff_q000,diff_q250,diff_q500,diff_q750,diff_q1000
1,odeformer,1,4,0.0,0.0,0.0,0.0,0.0
1,odeformer,2,4,0.0,0.0,0.0,0.0,0.0
1,sindy,1,4,-1.1102230246251565e-16,-1.1102230246251565e-16,-5.551115123125783e-17,2.7755575615628914e-17,1.1102230246251565e-16
1,sindy,2,4,0.0,0.0,0.0,2.7755575615628914e-17,1.1102230246251565e-16
2,odeformer,1,2,0.0,0.0,0.0,0.0,0.0
2,odeformer,2,2,0.0,0.0,0.0,0.0,0.0
2,sindy,1,2,-0.0003711129345509434,-0.00037110678908436334,-0.0003711006436177833,-0.0003710944981512032,-0.00037108835268462315
2,sindy,2,2,0.00031941256227663306,0.00031941805429597236,0.00031942354631531167,0.00031942903833465097,0.0003194345303539903
