signal,operating_point,selected_k,sigma_rel,noise_replicate,direction,regime,dimension,phasec_representability_threeway,aggregation_scope,n_cells,structure_denominator_exact_cells,structure_hit_raw_count,structure_hit_raw_rate,structure_hit_pruned_count,structure_hit_pruned_rate,diverged_or_nonfinite_count,r2_finite_nondiverged_count,r2_gt_0_9_count,r2_gt_0_9_rate_over_cells,r2_median_valid,r2_q000_finite_nondiverged,r2_q025_finite_nondiverged,r2_q075_finite_nondiverged,r2_q100_finite_nondiverged
fd,bic,1,0.01,2,IC2_to_IC1,reconstruction,2,surrogate:eq2_not_representable,dimension_by_phasec_representability_threeway,1,0,0,,0,,0,1,1,1.0,0.9971061003752703,0.9971061003752703,0.9971061003752703,0.9971061003752703,0.9971061003752703
fd,bic,1,0.01,3,IC1_to_IC2,generalization,2,exact,dimension_by_phasec_representability_threeway,2,2,2,1.0,2,1.0,0,2,2,1.0,0.9901617718111302,0.9829000360356156,0.986530903923373,0.9937926396988875,0.9974235075866449
fd,bic,1,0.01,3,IC1_to_IC2,reconstruction,2,exact,dimension_by_phasec_representability_threeway,2,2,2,1.0,2,1.0,0,2,2,1.0,0.988127150902404,0.9837350777392682,0.985931114320836,0.990323187483972,0.9925192240655398
fd,bic,1,0.01,3,IC2_to_IC1,generalization,1,exact,dimension_by_phasec_representability_threeway,2,2,1,0.5,1,0.5,0,2,1,0.5,0.26230211758355004,-0.47147589267054246,-0.10458688754349621,0.6291911227105963,0.9960801278376425
fd,bic,1,0.01,3,IC2_to_IC1,generalization,1,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,1,0,0,,0,,0,1,0,0.0,-1.1784911152874842,-1.1784911152874842,-1.1784911152874842,-1.1784911152874842,-1.1784911152874842
fd,bic,1,0.01,3,IC2_to_IC1,generalization,2,exact,dimension_by_phasec_representability_threeway,2,2,1,0.5,1,0.5,0,2,2,1.0,0.9483474298721879,0.9025825042301394,0.9254649670511637,0.9712298926932122,0.9941123555142365
fd,bic,1,0.01,3,IC2_to_IC1,generalization,2,surrogate:eq2_not_representable,dimension_by_phasec_representability_threeway,1,0,0,,0,,0,1,0,0.0,-1.0797263872472678,-1.0797263872472678,-1.0797263872472678,-1.0797263872472678,-1.0797263872472678
fd,bic,1,0.01,3,IC2_to_IC1,reconstruction,1,exact,dimension_by_phasec_representability_threeway,2,2,1,0.5,1,0.5,0,2,2,1.0,0.9876582861674501,0.9754620340065153,0.9815601600869828,0.9937564122479174,0.9998545383283849
fd,bic,1,0.01,3,IC2_to_IC1,reconstruction,1,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,1,0,0,,0,,0,1,1,1.0,0.9983723702543805,0.9983723702543805,0.9983723702543805,0.9983723702543805,0.9983723702543805
fd,bic,1,0.01,3,IC2_to_IC1,reconstruction,2,exact,dimension_by_phasec_representability_threeway,2,2,1,0.5,1,0.5,0,2,2,1.0,0.9903910879490294,0.9833300277947776,0.9868605578719035,0.9939216180261552,0.9974521481032811
