manifest_index,system_id,system_name,seed,initial_condition_set,variant,basis_name,representability,wp_n1_support_status,raw_support_match,pruned_support_match,support_equality_definition,raw_implies_pruned_violation,r2,r2_gt_0_9,loss,final_stage,eq_final_stages,total_parameter_fits,total_loss_evals,total_ode_solves,elapsed_s,elapsed_s_evidence_role,git_hash,config_fingerprint,stage_cap_behavior_fingerprint,incomplete_allowed,expected_manifest_records,observed_manifest_records,missing_manifest_indices,dim,classification_description,decision_layer
14,26,Lotka-Volterra competition model (Strogatz version with sheeps and rabbits),42,1,wp_n1_old_basis,default_staged_polynomial_basis,exact,ok,False,False,normalized term-name set equality per equation index; equation order is preserved,False,0.9969495267091448,True,0.0003230491588468446,3,"[3,3]",350,817586,817586,894.851851836,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,Lotka-Volterra competition model (Strogatz version with sheeps and rabbits),A_paired_both_exact
15,26,Lotka-Volterra competition model (Strogatz version with sheeps and rabbits),123,1,wp_n1_old_basis,default_staged_polynomial_basis,exact,ok,False,False,normalized term-name set equality per equation index; equation order is preserved,False,0.997495718705371,True,0.0002558253131208551,3,"[3,3]",330,844994,844994,1689.006524584,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,Lotka-Volterra competition model (Strogatz version with sheeps and rabbits),A_paired_both_exact
16,26,Lotka-Volterra competition model (Strogatz version with sheeps and rabbits),7,2,wp_n1_old_basis,default_staged_polynomial_basis,exact,ok,False,False,normalized term-name set equality per equation index; equation order is preserved,False,0.9905024066553294,True,0.0005089221678008136,3,"[3,3]",310,495987,495987,642.125772104,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,Lotka-Volterra competition model (Strogatz version with sheeps and rabbits),A_paired_both_exact
17,26,Lotka-Volterra competition model (Strogatz version with sheeps and rabbits),42,2,wp_n1_old_basis,default_staged_polynomial_basis,exact,ok,False,False,normalized term-name set equality per equation index; equation order is preserved,False,0.9947872676627587,True,0.0002210957350806746,3,"[3,3]",290,457602,457602,1367.617001986,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,Lotka-Volterra competition model (Strogatz version with sheeps and rabbits),A_paired_both_exact
18,26,Lotka-Volterra competition model (Strogatz version with sheeps and rabbits),123,2,wp_n1_old_basis,default_staged_polynomial_basis,exact,ok,False,False,normalized term-name set equality per equation index; equation order is preserved,False,0.9898591645253243,True,0.0005433811191582528,3,"[3,3]",290,474812,474812,1127.557656569,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,Lotka-Volterra competition model (Strogatz version with sheeps and rabbits),A_paired_both_exact
19,27,Lotka-Volterra simple (as on Wikipedia),7,1,wp_n1_old_basis,default_staged_polynomial_basis,exact,ok,False,False,normalized term-name set equality per equation index; equation order is preserved,False,0.7966538492373324,False,1.258754523351269,3,"[3,3]",310,992625,992625,16061.047418228,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,Lotka-Volterra simple (as on Wikipedia),A_paired_both_exact
20,27,Lotka-Volterra simple (as on Wikipedia),42,1,wp_n1_old_basis,default_staged_polynomial_basis,exact,ok,False,False,normalized term-name set equality per equation index; equation order is preserved,False,0.938551919392694,True,0.3745131382672236,3,"[3,3]",490,1513480,1513480,2925.405666838,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,Lotka-Volterra simple (as on Wikipedia),A_paired_both_exact
21,27,Lotka-Volterra simple (as on Wikipedia),123,1,wp_n1_old_basis,default_staged_polynomial_basis,exact,ok,False,False,normalized term-name set equality per equation index; equation order is preserved,False,0.891472677170247,False,0.6611338235663832,3,"[3,3]",430,1252895,1252895,2306.948257556,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,Lotka-Volterra simple (as on Wikipedia),A_paired_both_exact
22,27,Lotka-Volterra simple (as on Wikipedia),7,2,wp_n1_old_basis,default_staged_polynomial_basis,exact,ok,False,True,normalized term-name set equality per equation index; equation order is preserved,False,0.9999999821456436,True,3.7310420143822875e-08,3,"[3,3]",430,3905508,3905508,5336.091105833,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,Lotka-Volterra simple (as on Wikipedia),A_paired_both_exact
23,27,Lotka-Volterra simple (as on Wikipedia),42,2,wp_n1_old_basis,default_staged_polynomial_basis,exact,ok,False,False,normalized term-name set equality per equation index; equation order is preserved,False,0.9974583059163182,True,0.006113800733311085,3,"[3,3]",350,2794949,2794949,2459.242801629,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,Lotka-Volterra simple (as on Wikipedia),A_paired_both_exact
