run_id,experiment_id,phase,hypothesis,run_type,include_in_paper,system_id,system_name,system_dim,system_representability,system_expected_stage,variant,seed,status,inferred_status,success,failure_reason,started_at,finished_at,loss,objective,exact_support_match,final_stage,stage_overshoot,wasted_levels,total_loss_evals,total_invalid_evals,elapsed_s,partial,metrics_available,corrupted
2_evogrow_v2_2_passive_seed99,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,2,Population growth (linear),1,exact,1,evogrow_v2_2_passive,99,finished,finished,true,,2026-04-22T16:48:09,2026-04-22T16:48:09,6.322743391075396e-12,0.0010000000063227433,true,1,0,0,1650,0,0.35700011253356934,false,true,false
2_evogrow_v2_2_passive_seed17,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,2,Population growth (linear),1,exact,1,evogrow_v2_2_passive,17,finished,finished,true,,2026-04-22T16:48:09,2026-04-22T16:48:10,6.322743391075396e-12,0.0010000000063227433,true,1,0,0,1650,0,0.3580000400543213,false,true,false
2_evogrow_v2_2_soft_seed42,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,2,Population growth (linear),1,exact,1,evogrow_v2_2_soft,42,finished,finished,true,,2026-04-22T16:48:10,2026-04-22T16:48:10,6.322743391075396e-12,0.0010000000063227433,true,1,0,0,1650,0,0.3859999179840088,false,true,false
2_evogrow_v2_2_soft_seed123,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,2,Population growth (linear),1,exact,1,evogrow_v2_2_soft,123,finished,finished,true,,2026-04-22T16:48:10,2026-04-22T16:48:11,6.322743391075396e-12,0.0010000000063227433,true,1,0,0,1650,0,0.5280001163482666,false,true,false
2_evogrow_v2_2_soft_seed7,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,2,Population growth (linear),1,exact,1,evogrow_v2_2_soft,7,finished,finished,true,,2026-04-22T16:48:11,2026-04-22T16:48:11,6.322743391075396e-12,0.0010000000063227433,true,1,0,0,1650,0,0.38299989700317383,false,true,false
2_evogrow_v2_2_soft_seed99,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,2,Population growth (linear),1,exact,1,evogrow_v2_2_soft,99,finished,finished,true,,2026-04-22T16:48:11,2026-04-22T16:48:12,6.322743391075396e-12,0.0010000000063227433,true,1,0,0,1650,0,0.3919999599456787,false,true,false
2_evogrow_v2_2_soft_seed17,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,2,Population growth (linear),1,exact,1,evogrow_v2_2_soft,17,finished,finished,true,,2026-04-22T16:48:12,2026-04-22T16:48:12,6.322743391075396e-12,0.0010000000063227433,true,1,0,0,1650,0,0.42799997329711914,false,true,false
2_gp_baseline_seed42,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,2,Population growth (linear),1,exact,1,gp_baseline,42,finished,finished,true,,2026-04-22T16:48:13,2026-04-22T16:48:23,6.322743391075396e-12,0.0010000000063227433,true,,,0,30048,816,8.999000072479248,false,true,false
2_gp_baseline_seed123,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,2,Population growth (linear),1,exact,1,gp_baseline,123,finished,finished,true,,2026-04-22T16:48:23,2026-04-22T16:48:34,6.322743391075396e-12,0.0010000000063227433,true,,,0,39753,2560,11.174999952316284,false,true,false
2_gp_baseline_seed7,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,2,Population growth (linear),1,exact,1,gp_baseline,7,finished,finished,true,,2026-04-22T16:48:34,2026-04-22T16:48:48,6.322743391075396e-12,0.0010000000063227433,true,,,0,57469,3655,13.825000047683716,false,true,false
2_gp_baseline_seed99,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,2,Population growth (linear),1,exact,1,gp_baseline,99,finished,finished,true,,2026-04-22T16:48:48,2026-04-22T16:48:53,6.322743391075396e-12,0.0010000000063227433,true,,,0,21158,1472,4.642999887466431,false,true,false
2_gp_baseline_seed17,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,2,Population growth (linear),1,exact,1,gp_baseline,17,finished,finished,true,,2026-04-22T16:48:53,2026-04-22T16:48:58,6.322743391075396e-12,0.0010000000063227433,true,,,0,23050,1600,4.64900016784668,false,true,false
3_evogrow_v1_seed42,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,3,Logistic growth,1,exact,2,evogrow_v1,42,finished,finished,true,,2026-04-22T16:48:58,2026-04-22T16:49:03,3.236362682414739e-8,0.002000032363626824,true,1,0,0,10320,3255,4.7149999141693115,false,true,false
